"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Liberia","LBR",4.11,0.54,31.32,34.31,13.05,68.65,71.08,71.36,57.81,2.34,69.28,0.5,64.58,68.81,61.67,69.28,75.72,0.12,0.17,2.07,55.91,0.01,60.06,0.01,67.01,71.69,91.67,57.98,62.88,80.95,66.82,76.23,47.91,68.72,58.69,37.74,33.94,0.01,24.6,0.01,69.45,60.05,74.41,57.86,75.69,58.36,65.16,68.24,70.33,15.09,67.73,18.38,0.0015,0.01,0,0.01,0,0.01,0,0.01,0,43.84,587.98,48.19,0.01306,0.01,0,0.01,0,0.01,0,0.01,0,28.22,205.46,30.13,0.00456,29.41,176.53,31.34,0.00392,0.01,0,0.01,0,42.91,169298.91,67.59,3.76007,43.63,158059.29,69.61,3.51044,45.48,133765.9,76.27,2.9709,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,36.89,346695.92,100,7.7,53.43,249227.12,84.88,5.53525,48.71,5120.85,57.61,0.11373,0.01,0,0.01,0,67.93,64.57,66.11,10.38,69.54,4.8,73.91,9.6,84.04,1253.66,100,-582.13,67.55,289.5,49.77,46.08,53.26,75.26,74.23,18.16,65.53,27.65,100,0.2,67.18,3.51,66.46,726.37,73.55,38.9,79.01,97,45.06,54.88,50.93,172.96,68.72,71.7,36.82,5.89,0.66563,36.41,18892,39.11,0.37,33.69,4200,34.2,0.08,0.01,0,0.01,0,65.76,788.79,53.27,24197.06,100,73248.48,65.76,1802.97,24.06,3086.2,25.15,0.068,0.01,0,0.01,0,64.76,-0.87758,74.49,-1.37513,53.98,-0.22901,66.81,-0.99521,77.11,9.06,71.8,53.2,69.54,85.82,48.14,103.31,78.68,548.44,72.82,70.9,49.07,30.66,58.96,43.18,68.72,78.6,77.41,0.06,57.92,0.84,61.7,16.06,74.49,3576.02,63.49,3066,67.18,7433.96,69.49,65,65.5,67,76.43,30,79.55,285.24,72.08,17
"Libyan Arab Jamahiriya","LBY",14.31,4.94,41.47,24.51,54.53,53.35,47.29,35.93,43.49,2.83,42.31,41.76,86.98,44.63,50.16,49.83,60.75,0.15,38.99,50.87,12.36,0.01,46.19,42.09,53.85,52.6,42.65,41.4,23.21,32.19,55.66,40.07,46.25,37.12,47.9,43.6,0.01,52.12,24.5,71.18,86.52,87.45,44.97,38.38,51.5,45.49,55.31,43.9,56.55,29.3,4065.53,33.02,0.05897,0.01,0,0.01,0,0.01,0,0.01,0,38.71,290.04,38.9,0.00421,41.05,122.29,40.51,0.00177,39.4,31.63,35.6,0.00046,47.13,8329.11,52.93,0.12081,47.17,5957.75,56.37,0.08642,47.06,2607.11,55.53,0.03782,12.81,998.76,12.81,0.01449,12.81,634.22,11.51,0.0092,12.81,396.12,11.51,0.00575,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.83,449736.96,48.77,6.52343,44.74,110838.23,60.33,1.60771,42.65,717.64,44.54,0.01041,42.66,143273.18,41.52,2.07818,51.86,73.19,55.91,11.64,56.65,7.71,48.84,13.41,52.1,11245.86,34.91,9057.3,51.63,95.95,33.19,-217.55,14.12,99.89,38.15,92.11,41.97,68.53,24.69,94.58,55.91,34.58,55.42,997.12,34.71,8.63,46.25,125.32,43.59,54.39,49.07,163.7,51.4,41.05,41.04,6.69,0.65573,41.81,44188,45.47,0.64,0.01,0,0.01,0,47.46,39000,57.23,0.57,30.46,21.85,41.04,19747.62,56.9,17307.68,45.06,731.27,25.38,4006,23.65,0.06,65.36,894.8,77.51,0.013438,85.59,-1.60364,87.45,-1.92214,87.45,-2.56575,87.45,-1.84805,47.2,197.88,42.84,521.87,41.04,325.73,35.89,992.08,50.23,49.89,52.8,20.48,39.43,290.22,54.46,52.3,43.84,100.09,74.91,0.08,63.49,0.49,35.57,67.37,42.34,39.9,47.2,1326.1,42.34,446.61,59.21,73,59.69,73,51.18,72,50,2898.96,73.8,22.3
"Liechtenstein","LIE",0.79,0.09,7,6.47,1.76,30.12,35.19,3.15,21.82,0.13,35.95,0.01,16.22,33.67,19.81,28.89,47.75,2.09,0.01,0.01,19.97,0.01,0.15,0.01,36.56,33.5,31.83,39.34,0.33,0.46,24.32,26.78,31.16,32.82,10.16,24.39,0.01,0.01,0.01,0.01,20.88,12.6,34.53,32.18,34.36,15.83,24.8,34.58,24.13,17.42,165.57,60.14,0.42016,17.5,42.19,44.82,0.10707,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,11.51,305.56,35.5,0.77541,11.51,216.27,34.53,0.54882,11.51,160.79,33.89,0.40802,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,10.68,3034.28,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.89,79.5,39.43,14.81,27.7,12.5,40.51,14.9,34.24,37861.22,29.59,11695.15,48.84,66.9,31.68,-291.94,0.01,100,10.99,99.95,0.01,100,21.36,96.31,14.41,451.68,41.04,1255.87,15.86,3.63,45.22,126.63,29.59,46.13,32.82,110.06,37.42,25.78,61.13,20.06,0.13981,15.09,149,39.43,0.39,0.01,0,0.01,0,0.01,0,0.01,0,42.34,80.88,33.54,16078.85,37.12,687.85,31.68,417.89,0.01,0,0.01,0,0.01,0,0.01,0,20.45,1.96831,21.32,1.69677,6.73,1.62775,23.6,1.67933,39.7,292.18,30.03,918.79,30.88,533.17,33.54,2134.47,36.82,9.7,32.07,4.27,6.73,10118.51,24.27,112.85,24.27,112.89,31.33,13.39,10.16,140.19,47.9,41.17,34.24,9.11,34.58,623.32,34.91,175.98,22.08,96,22.26,96,28.57,92,32.45,9643.89,70.25,13.42
"Lithuania","LTU",2.24,0.64,7.83,6.5,2.12,34.83,33.43,1.44,44.27,0.14,38.92,0.01,33.99,28.16,36.66,33.55,34.34,0.12,0.01,44.68,41.38,0.01,0.13,15.24,40.73,19.7,35.23,44.18,30.53,0.01,25.95,0.54,35.29,53.98,45.54,29.92,0.01,0.01,0.01,0.01,34.13,33.85,26.43,26.62,31.73,31.13,43.18,32.63,34.5,15.49,71.43,20.42,0.0026,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.08,1906.84,45.8,0.06928,40.13,1601.58,50.73,0.05819,41.6,980.55,53.88,0.03563,29.42,44500.77,53.45,1.6169,30.06,42203.27,55.44,1.53343,32.29,38500.03,59.36,1.39887,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.84,100661.48,23.2,3.65746,0.01,0,0.01,0,0.01,0,0.01,0,14.86,713.89,15.62,0.02594,44.33,76.13,37.42,15.2,14.41,13.1,26.92,16.6,34.58,37415.89,35.89,8056.27,32.07,0,60.85,294.31,26.5,98.01,35.17,93.94,0.01,100,0.01,100,36.51,283.39,18.45,1667.36,0.01,2.5,28.63,140,36.2,49.12,34.41,117.97,33.89,24.22,75.73,32.26,0.65433,27.93,4723,32.06,0.17,0.01,0,0.01,0,0.01,0,0.01,0,40.78,67.26,44.09,20999.09,35.57,585.75,35.89,528.47,0.01,0,0.01,0,0.01,0,0.01,0,35.89,0.67599,32.45,1.04338,34.91,0.84219,32.82,1.02287,23.6,504,29.59,944.5,23.6,643,30.03,2817.73,32.82,7.73,30.67,4,33.19,858.05,27.7,108.75,32.82,106.52,67.39,0.29,36.82,7.86,32.45,72.01,36.82,13.89,38.87,824.72,24.27,92.09,37.44,91,35.84,91,30.6,91,34.24,8379.32,34.45,1.1
"Luxembourg","LUX",0.52,0.06,4.43,5.49,5.69,2.79,9.34,1.4,31.29,0.53,22.99,0.44,17.4,24.05,31.34,1.82,0.38,0.12,0.01,0.01,17.1,0.01,0.16,0.01,26.78,36.35,13.69,0.57,21.3,0.01,30.64,0.59,29.1,27.7,38.01,40.14,0.38,0.01,19.45,0.01,16.76,18.07,29,22.43,21.38,21.34,46.03,22.02,0.15,13.45,12.06,19.92,0.00204,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,13.65,1308.85,18.67,0.22164,14.06,1268.39,20.81,0.21479,14.87,1132.09,22.54,0.19171,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,21.61,45119.89,81.11,7.64069,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.65,82.46,26.92,16.58,29.81,12.3,44.33,14.3,10.16,74306.24,18.45,20289.53,32.07,0,0.01,-19491.52,14.98,99.88,30.29,97.59,0.01,100,0.01,100,27.7,371.13,33.89,1348.22,0.01,2.5,34.62,135,28.2,45.72,30.03,101.61,24.91,22.21,61.42,20.54,0.64785,30.73,6837,52.44,1.08,14.28,2,0.01,0,0.01,0,0.01,0,42.84,90.19,22.13,11171.6,18.45,125.66,15.96,255.26,16.97,303.8,22.29,0.048,0.01,0,0.01,0,14.41,2.1122,19.49,1.73365,15.96,1.36212,20.45,1.79343,38.01,319.67,22.13,1253.35,34.91,426,14.41,7277.85,30.03,6.44,15.22,2.4,14.41,4130.55,19.49,120.2,34.58,104.68,54.35,1.2,30.03,13.45,59.75,18.43,20.45,4.41,22.13,248.35,23.6,86.86,0.01,99,0.01,99,32.7,90,14.41,18444.21,0.01,0
"Madagascar","MDG",23.48,18.38,29.99,25.36,15.49,68.69,63.02,79.16,65.74,0.54,59.26,0.75,64.67,76.6,68.57,72.25,65.42,0.12,36.2,42.17,39.96,66.2,58,25.19,61.71,65.74,77.96,49.88,80.65,73.39,78.81,84.17,63.64,66.81,66.81,0.41,38.95,0.01,56.29,0.01,69,60.62,74.54,88.14,68.41,73.23,64.21,74.92,69.68,19.62,372.77,17.86,0.00134,0.01,0,0.01,0,0.01,0,0.01,0,48.2,856.11,34.12,0.00308,38.59,91.23,31.27,0.00033,36.81,25.59,30.82,9e-05,46.06,7596.79,39.52,0.02737,45.53,4689.59,40.59,0.0169,44.22,1194.93,37.82,0.00431,43.63,177736.87,33.89,0.64041,44.36,161140.8,35.83,0.58061,45.85,135326.87,37.79,0.4876,65.09,537126.2,76.34,1.93534,71.34,70288.52,54.17,0.25326,66.22,1031.75,66.22,0.00372,57.67,2120762.93,81.76,7.64141,54.04,257645.4,51.7,0.92833,55.45,18729.86,52.13,0.06749,31.75,45904.43,19.98,0.1654,62.58,67.55,60.85,10.83,62.88,6.1,68.72,10.2,79.55,1544.55,76.4,289.53,50.7,89.89,49.07,40.94,74.15,53.39,87.72,12.31,66.94,26.91,80.47,0.9,75.09,1.04,82.72,405.7,79.34,43.2,89.29,88,64.11,61.38,63.18,253.8,67.18,70.49,34.24,5.46,0.67311,16.42,301,0.01,0,44.37,22380,34.2,0.08,0.01,0,0.01,0,49.3,157.65,58.43,26226.99,62.28,25558.15,68.72,1913.71,59.81,895576.4,52.97,3.438,0.01,0,0.01,0,67.18,-1.00937,70.86,-1.14245,54.7,-0.25255,67.18,-1.00881,66.11,21.82,84.04,29.8,89.84,43.68,86.47,0.02,70.41,350.69,66.46,53.6,85.59,0.02,67.55,34.04,67.93,78.88,43.64,3.52,73.35,0.24,82.72,5.53,79.55,5333.66,70.41,4042.7,75.09,10534.14,68.31,68,53.91,76,91.87,24,77.11,334.61,55.51,4.2
"Malawi","MWI",3.3,0.35,31.2,34.13,14.24,62.51,65.08,66.19,67.71,2.6,61.11,0.67,57.73,74.59,71.27,49.25,69.6,38.55,0.01,0.01,32,0.16,3,0.01,66.99,67.24,73.95,53.86,62.14,75.7,76.56,53.31,70.91,73.91,59.22,38.88,45.08,0.01,45.13,0.01,62.29,53.5,88.24,69.34,67.83,70.9,71.64,68.22,35.55,45.13,35399.55,46.13,0.19174,36.6,4212.3,30.6,0.02282,37.93,298.19,37.13,0.00162,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.21,85533.92,28.46,0.46329,35.18,76866.31,28.78,0.41634,35.5,61632.01,30.7,0.33382,40.95,6496.11,37.77,0.03519,0.01,0,0.01,0,0.01,0,0.01,0,53.5,1391111.99,72.44,7.53485,42.14,90871.29,44.3,0.4922,0.01,0,0.01,0,0.01,0,0.01,0,67.18,64.8,66.81,10.34,70.86,4.7,63.8,11.2,80.51,1543.38,67.93,629.44,60.57,175.31,47.9,27.36,56.97,70.05,67.78,26.55,79.71,11.2,71.9,1.9,78.68,0.61,74.49,477.81,52.17,17.3,54.47,120,72.3,65.15,69.54,297.11,74.49,79.08,24.91,4.86,0.66575,42.43,48265,35.63,0.25,46.56,28302,43.64,0.15,0.01,0,0.01,0,80.51,5456.75,36.51,17474.9,63.18,27171.43,75.09,2159.95,48.38,212467.8,42.09,1.144,0.01,0,0.01,0,61.42,-0.78115,63.18,-0.74944,54.94,-0.26725,52.1,-0.33112,100,3.6,77.87,43.9,67.18,95.58,71.56,0.19,69.97,341.27,65.76,49.7,73.35,0.13,93.27,17.55,52.1,95.58,53.13,1.39,74.19,0.23,93.27,3.08,69.97,2828.78,67.18,3580.34,67.55,7522.03,29.41,94,31.09,93,49.12,75,73.91,454.07,65.54,8.6
"Malaysia","MYS",14.36,8.64,23.86,19.1,19.81,35.88,39.98,10.4,41.63,2.73,53.75,4.18,39.89,46.64,45.9,26.94,37.36,1.76,48.4,41.82,43.1,0.15,2.51,62.25,44.55,45.42,39.14,32.25,22.76,0.47,38.57,28.32,39.01,29.14,63.49,53.66,38.11,0.01,31.14,0.56,37.8,42.1,49.76,48.38,42.14,43.5,48.43,42.41,17.11,30.88,5721.84,24.73,0.0166,21.76,273.27,17.63,0.00079,0.01,0,0.01,0,58.1,2650.05,44.19,0.00769,55.74,929.83,43.73,0.0027,51.58,249.51,39.82,0.00072,43.05,5110.46,38.2,0.01483,46.61,4859.27,39.23,0.0141,45.89,1612.39,38.79,0.00468,49.44,295858.04,37.79,0.85857,49.02,244416.36,37.13,0.70929,49.02,174354.83,38.45,0.50597,37.65,3284.48,35.08,0.00953,0.01,0,0.01,0,0.01,0,0.01,0,58.82,2284690.33,49.81,6.63009,32.21,25652.29,26.61,0.07444,0.01,0,0.01,0,68.47,2790631.61,56.6,8.09831,43.35,76.37,45.78,13.61,42.97,10.4,48.02,13.7,38.58,27370.05,39.7,6711.02,40.78,0.49,25.51,-630.53,30.6,97.1,16.93,99.58,0.01,100,21.73,96.1,49.54,92.79,30.03,1395.96,14.72,3.2,54.47,120,39.15,51.79,38.87,138.86,46.02,33.8,50,10.36,0.67014,58.54,291072,49.18,0.9,44.79,23909,32.42,0.07,0.01,0,0.01,0,50.93,179.59,63.18,29277.45,51.4,11678.85,50.46,914.73,37.82,23101.6,25.64,0.072,30.94,0.2,0.01,0,42.59,0.24752,33.54,0.99869,48.14,0.11028,36.82,0.59095,50.7,149.34,48.84,348.4,52.8,194.74,44.33,262.7,43.84,25.21,40.51,7.8,39.7,285.47,37.42,84.56,55.42,93.78,54.6,1.18,44.09,3.91,47.2,43.06,47.44,88.47,39.43,831.43,40.78,397.4,11.22,98,11.5,98,38.85,84,40.51,5840.54,34.45,1.1
"Maldives","MDV",1.02,0.11,9.42,5.63,10.27,14.44,44.77,11.51,30.99,0.01,35.41,0.46,51.79,45.49,37.11,2.2,36.87,0.01,39.25,0.01,0.01,0.01,0.01,40.8,39.37,58.3,47.98,36.48,20.94,0.41,33.44,61.21,37.71,12.55,62.88,0.01,0.01,0.01,21,0.01,51.97,51.61,42.95,48.82,44.88,34.28,40.17,40.4,0.12,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.89,59.31,50.4,0.01675,34.91,42.95,53.67,0.01213,31.14,4.33,44.59,0.00122,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.09,31823.21,57.21,8.98654,34.58,79.36,44.82,13.86,59.09,7,57.53,12.2,49.77,12840.27,46.26,3731.36,65.09,260.06,20.45,-2134.81,19.67,99.54,22.3,99.16,0.01,100,17.15,99.1,48.84,99.77,22.89,1559.53,43.08,12.5,86.97,90,38.01,50.74,37.42,128.9,36.2,25.52,22.89,4.68,0.66949,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,10.16,3.28,59.49,26876.58,53.51,14242.52,48.6,857.7,17.54,360,25.15,0.068,0.01,0,0.01,0,50.93,-0.26251,53.03,-0.19422,49.77,0.01352,53.51,-0.41109,49.3,170.8,37.42,642.8,50,222.16,47.67,117.69,48.6,43.21,41.44,8.6,49.54,26.47,14.41,127.59,56.41,92.32,40.55,5.38,31.68,11.83,50.46,34.12,46.73,81.35,27.7,390.82,50.93,1194.18,0.01,99,0.01,99,16.18,96,34.91,8264.73,38.94,1.6
"Mali","MLI",2.25,0.08,63.19,58.52,69.5,62.05,73.6,52.48,63.1,42.81,65.77,61.9,67.86,79.93,68.84,78.42,44.25,0.01,0.01,0.01,60.5,0.01,2.84,0.01,78.49,86.89,73.36,58.64,54.3,64.34,54.17,40.08,43.04,93.27,62.58,39.48,31.54,63.02,63.62,60.23,64.26,71.67,74.67,85.81,79.69,75,63.18,84.29,72.95,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,57.6,671649.68,63.4,2.88637,57.6,558292.18,62.67,2.39923,59.36,383654.63,62.67,1.64873,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,54.49,1712645.87,65.98,7.35999,39.3,59910.18,37.36,0.25746,0.01,0,0.01,0,0.01,0,0.01,0,77.87,59.88,79.11,9.17,89.84,2.4,84.04,7.5,72.82,2251.86,73.91,363.76,65.42,260.92,52.56,111.66,49.6,82.55,59.45,45.39,51.44,48.02,80.47,0.9,64.43,7.25,45.54,1166.22,40.97,10.4,39.2,132,40.25,52.94,46.02,152.81,93.27,93.06,26.37,4.9,0.66931,43.36,54598,35.94,0.27,36.19,7000,27.49,0.03,64.28,277000,61.79,1.37,61.13,504.43,49.3,22878.22,69.12,38220.46,89.84,2879.96,66.17,1365926.2,61.17,6.748,55.75,428.8,65.06,0.002214,59.75,-0.69664,69.12,-1.05644,80.51,-2.15344,63.8,-0.83423,72.3,12.9,77.11,44.1,100,29.16,73.63,0.16,77.87,540.04,81.55,97.8,72.56,0.14,67.93,33.48,85.59,60.47,42.55,3.89,78.27,0.17,75.73,7.77,77.87,4779.04,85.59,7294,89.84,23793.61,65.5,70,67.56,65,87.72,26,71.8,475.5,27.27,0.6
"Malta","MLT",0.94,0.15,5.89,5,2.15,18.99,30.34,0.48,41.68,0.17,30.24,0.01,33.12,30.2,36.15,5.84,32.42,0.14,38.93,0.01,0.01,0.01,0.01,31.58,25.19,34.88,33,29.23,0.32,0.01,30.45,0.56,26.91,51.4,52.33,46.01,0.01,0.01,0.01,0.01,38.79,28.28,31.74,26.73,32.48,27.6,47.34,31.28,1.09,19.98,445.96,40,0.10707,0.01,0,0.01,0,0.01,0,0.01,0,33.31,151.03,57.66,0.03626,29.42,7.19,39.49,0.00173,32.5,7.19,47.99,0.00173,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,22.75,10142.55,43.83,2.4351,22.13,82.75,28.68,16.49,37.27,11.3,32.64,16.1,33.19,38803.21,32.82,9761.16,32.07,0,26.65,-602.56,0.01,100,9.95,99.96,0.01,100,0.01,100,22.89,401.76,40.51,1258.55,0.01,2.5,31.56,137,26.65,44.72,27.18,92.91,25.51,22.35,80.51,33.16,0.65982,34.33,13226,61.66,2.52,0.01,0,0.01,0,0.01,0,0.01,0,43.59,92.32,28.2,11839.89,25.51,156.38,26.65,299.76,0.01,0,0.01,0,0.01,0,0.01,0,43.1,0.23939,34.91,0.85842,23.6,1.09019,33.89,0.95223,34.58,358.46,29.14,948.3,28.68,555.61,24.91,4709.06,28.2,5.72,37.42,7,26.65,1751.23,24.91,112.54,31.68,107.36,68.97,0.21,40.78,5.58,37.72,64.87,24.91,5.97,32.82,557.5,37.42,215.54,11.22,98,11.5,98,0.01,99,33.19,9397.39,31.67,0.8
"Marshall Islands","MHL",2.29,0.5,10.51,9.14,2.86,44.35,59.3,45.19,39.73,0.01,59.89,0.01,47.88,48.87,37.49,54.65,42.57,0.01,44.16,28.61,0.01,0.15,0.01,39.23,60.37,47.16,64.48,67.35,45.57,32.51,71.17,39.56,54.81,58.69,19.49,0.01,0.01,0.01,0.01,0.01,49.87,45.97,53.57,39.13,55.67,45.29,31.03,55.42,53.89,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.07,32.45,71.8,0.14453,31.06,10.86,67.96,0.04839,30.69,4.3,63.6,0.01914,23.83,45.97,60.96,0.20475,19.41,3.44,39.68,0.01533,20.47,0.04,23.95,0.00018,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.27,23.49,41.16,0.10464,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,21.72,8295.11,70.87,36.94747,59.62,69.83,61.13,10.81,39.43,10.9,56.41,12.4,60.85,5132.01,68.32,610.25,84.04,1156.92,53.98,135.17,45.92,88.57,45.23,84.15,28.72,97.44,36.81,65.1,57.92,21.6,87.45,280.96,29.32,6.83,53.38,120.86,52.1,57.52,57.66,210.38,59.49,53.72,45.78,7.9,0.30619,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.2,125.91,84.04,41867.39,52.33,12517.82,61.99,1543.52,0.01,0,0.01,0,0.01,0,0.01,0,48.84,-0.15749,50.93,-0.13276,44.33,0.34111,47.67,-0.03309,57.92,71.11,49.54,333.9,39.97,342.31,38.3,684.23,52.33,59.01,59.22,33.1,38.87,293.96,31.28,99.57,76.4,68.71,34.24,11.27,15.96,54.06,54.7,25.82,55.67,365.01,55.18,2140.41,55.42,1917.54,52.59,79,52.04,78,57.2,64,66.46,845.98,27.27,0.6
